6
1
33	25	28	21	14	20	9	26	-1	5	-1	17	7	35	27	8	32	31	4	29	12	19	36	15	16	18	6	1	-1	34	-1	23	30	2	-1	22
27	15	19	12	31	34	14	-1	-1	18	6	32	22	36	-1	11	29	26	30	-1	1	16	-1	-1	33	25	24	9	4	35	21	10	20	13	28	5
8	4	36	5	13	32	24	33	25	2	19	31	28	16	23	14	1	6	10	34	3	11	7	27	15	30	22	20	29	21	9	-1	18	12	17	-1
26	11	18	29	30	10	15	27	23	4	8	28	34	2	9	20	19	21	-1	-1	24	6	35	17	5	32	12	3	7	13	31	-1	-1	1	16	14
2	23	6	9	3	24	7	29	1	-1	16	11	30	17	12	15	10	13	5	21	18	22	8	25	28	36	26	31	14	-1	35	4	27	19	33	34
22	7	17	1	35	16	36	10	3	30	13	34	4	-1	5	-1	25	-1	32	20	14	33	31	2	8	-1	11	-1	19	23	6	26	15	-1	24	29
-1	33	11	14	25	1	10	5	28	31	30	4	16	32	36	29	23	-1	3	-1	6	-1	24	9	21	17	8	12	35	-1	18	7	26	27	34	2
35	10	8	-1	12	36	13	14	27	16	29	20	19	3	26	34	-1	22	21	2	23	-1	-1	31	9	11	33	4	6	32	15	28	17	-1	1	25
23	17	7	16	26	3	2	32	9	35	15	36	10	-1	20	21	33	-1	27	13	28	30	12	11	29	1	-1	22	-1	24	4	14	19	-1	5	6
34	13	2	20	15	31	18	23	17	22	7	6	24	25	30	28	5	8	1	-1	19	-1	33	-1	27	14	-1	26	10	3	11	9	29	32	-1	36
-1	5	30	4	9	27	21	19	33	3	26	24	1	18	-1	2	6	14	7	35	16	29	15	20	34	-1	36	-1	13	25	22	-1	10	31	8	12
6	32	22	28	29	21	11	12	34	25	1	8	13	9	-1	-1	15	35	36	18	26	5	14	-1	23	19	16	2	31	-1	-1	-1	33	24	-1	30
12	1	26	8	20	25	6	17	11	-1	3	-1	18	28	35	7	13	34	33	15	21	10	29	16	-1	24	4	27	5	9	30	31	-1	14	2	32
11	3	31	13	34	-1	12	4	36	33	32	18	21	10	24	27	14	9	2	30	8	28	25	1	26	15	-1	19	16	7	-1	20	35	6	23	17
19	-1	4	-1	-1	29	26	35	22	-1	5	1	33	30	15	32	20	16	-1	23	-1	7	27	24	17	8	14	36	21	12	-1	25	11	34	9	28
17	14	16	33	10	30	34	20	13	28	31	23	25	29	19	5	22	1	-1	36	11	26	9	3	6	-1	18	32	2	-1	-1	12	-1	-1	21	7
21	-1	15	6	28	22	-1	9	16	27	2	-1	11	26	17	23	36	3	18	12	4	20	13	19	31	29	30	34	25	33	8	5	-1	10	-1	24
24	36	35	-1	18	-1	-1	7	30	19	-1	25	2	8	4	6	31	12	34	14	17	32	-1	5	11	20	10	28	23	-1	3	1	16	22	13	27
10	27	23	30	1	5	-1	-1	6	32	-1	13	9	31	28	24	2	29	14	17	33	34	16	7	36	22	15	25	3	11	12	19	4	21	35	20
31	26	32	19	33	11	-1	24	12	10	20	-1	35	34	3	4	-1	-1	29	6	30	27	18	28	-1	5	2	13	-1	-1	17	8	22	16	14	23
16	34	3	24	-1	6	-1	11	35	9	28	19	-1	12	14	36	8	30	25	22	5	1	21	32	18	23	7	-1	26	17	33	27	13	-1	29	15
-1	29	9	17	-1	-1	33	21	31	34	25	22	-1	7	32	13	11	10	35	8	15	24	2	4	1	28	20	14	12	6	-1	36	5	3	26	-1
28	-1	13	35	4	-1	-1	15	8	14	17	5	26	1	21	22	16	25	11	19	20	36	23	12	10	33	32	24	30	27	2	18	31	-1	7	-1
15	21	25	18	2	12	1	16	4	-1	36	7	17	5	33	19	27	20	9	10	31	3	26	13	-1	34	35	29	8	-1	32	30	6	28	11	-1
9	30	5	26	8	13	23	31	32	1	35	-1	27	33	6	3	-1	18	16	4	29	2	11	22	19	12	34	21	28	10	24	15	-1	7	20	-1
-1	18	29	10	36	19	5	34	-1	20	14	26	23	15	7	35	4	32	-1	3	13	-1	28	33	22	27	31	30	24	8	16	17	25	11	12	21
-1	12	-1	7	22	23	16	6	29	15	18	27	-1	21	25	9	24	36	31	1	10	17	20	34	2	35	5	11	32	14	28	13	-1	8	19	33
25	16	1	34	24	28	22	8	21	7	11	33	-1	19	13	12	30	-1	6	27	35	18	5	23	20	3	29	15	9	4	14	-1	36	26	10	31
-1	31	20	27	-1	35	30	13	2	24	-1	-1	5	14	10	16	34	11	8	7	9	12	-1	26	25	6	23	17	36	1	29	3	32	-1	4	18
-1	2	21	32	6	4	3	-1	19	-1	12	10	31	20	29	17	28	-1	15	24	36	25	30	14	7	26	13	33	18	16	5	34	1	35	22	9
3	28	-1	36	32	33	29	18	-1	13	-1	2	12	4	-1	-1	7	19	24	5	34	15	17	10	30	31	21	6	22	20	25	16	14	9	27	26
29	20	10	-1	16	-1	4	30	26	17	21	14	36	24	34	31	9	5	22	11	7	-1	6	35	32	13	25	23	-1	19	1	33	28	15	18	8
30	22	-1	-1	21	15	31	1	7	23	10	9	6	13	8	25	35	2	26	33	-1	14	-1	29	24	16	27	18	34	5	20	32	12	4	36	11
1	6	34	2	11	7	19	36	20	12	24	16	14	-1	-1	30	21	15	-1	9	27	4	-1	18	35	-1	28	8	17	26	10	22	23	29	3	13
14	-1	27	-1	5	9	28	25	-1	6	34	-1	20	22	11	18	26	33	23	16	32	8	19	30	12	4	3	-1	1	15	7	2	24	17	31	35
18	35	24	23	-1	26	8	22	-1	11	33	15	32	27	16	1	17	-1	12	28	25	31	3	36	14	10	9	7	-1	29	34	6	21	5	30	19
