4
2797
-1	4	14	-1	12	-1	8	-1	-1	11	-1	-1	3	-1	-1	-1
-1	-1	-1	-1	-1	-1	2	-1	6	4	-1	10	13	-1	-1	-1
6	11	2	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	1	-1
-1	9	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	10	-1	7	-1
-1	-1	-1	-1	13	-1	14	-1	-1	-1	3	-1	9	16	8	-1
-1	-1	3	-1	-1	-1	9	-1	-1	12	-1	-1	7	-1	5	6
8	15	-1	7	-1	-1	12	-1	-1	-1	2	-1	-1	-1	-1	-1
-1	-1	6	-1	-1	-1	-1	-1	7	5	8	16	-1	-1	12	15
-1	-1	16	-1	4	14	-1	-1	-1	10	12	-1	-1	-1	11	2
7	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	9	-1
-1	-1	-1	-1	-1	-1	6	11	4	-1	15	5	-1	3	-1	-1
-1	-1	-1	-1	-1	-1	-1	2	3	7	-1	-1	-1	-1	-1	13
-1	5	-1	1	-1	11	-1	-1	-1	15	-1	-1	-1	-1	-1	-1
14	2	10	11	3	4	16	-1	-1	13	5	-1	-1	-1	-1	-1
16	-1	-1	6	7	5	-1	-1	2	-1	-1	-1	8	9	-1	-1
4	-1	-1	-1	9	8	13	-1	16	-1	1	-1	5	-1	3	-1
