4
979
3	-1	-1	12	11	-1	-1	-1	-1	10	15	-1	-1	-1	2	9
10	-1	-1	-1	-1	14	-1	-1	-1	1	-1	-1	-1	-1	7	-1
-1	-1	-1	-1	13	2	12	-1	-1	-1	-1	16	15	-1	6	-1
6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	13	-1	1
-1	-1	10	-1	6	7	1	-1	-1	12	4	3	-1	-1	16	-1
-1	-1	-1	-1	-1	15	-1	-1	-1	14	10	-1	4	8	-1	-1
-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	15	9	10	-1	7
15	-1	-1	14	5	16	-1	-1	9	7	6	-1	12	-1	-1	-1
-1	13	-1	-1	-1	-1	-1	-1	15	-1	12	-1	14	-1	-1	-1
7	-1	5	-1	8	-1	-1	-1	10	9	2	-1	-1	15	-1	-1
-1	-1	11	-1	14	9	-1	-1	-1	8	-1	5	13	12	-1	3
9	-1	4	-1	-1	6	3	-1	-1	-1	13	-1	-1	-1	10	-1
-1	-1	-1	-1	4	10	-1	3	-1	-1	-1	-1	-1	-1	-1	14
-1	15	-1	13	12	-1	11	-1	-1	-1	-1	-1	2	-1	-1	-1
-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	13	-1
14	7	-1	9	-1	13	16	15	12	-1	5	11	-1	-1	4	-1
