4
349
-1	-1	3	9	13	-1	10	-1	-1	8	-1	6	-1	15	5	-1
7	4	-1	2	-1	14	-1	-1	13	10	-1	-1	-1	12	-1	-1
-1	10	15	-1	1	-1	-1	6	-1	-1	7	-1	-1	-1	11	-1
-1	-1	6	-1	-1	-1	-1	12	-1	-1	-1	-1	9	-1	-1	13
-1	9	12	-1	-1	10	11	15	-1	-1	-1	-1	-1	7	-1	14
-1	-1	-1	-1	-1	9	12	-1	-1	-1	-1	10	2	-1	6	-1
2	-1	-1	-1	-1	13	14	-1	-1	11	-1	-1	5	3	4	15
8	-1	-1	7	4	3	-1	-1	-1	14	-1	15	-1	-1	-1	11
4	-1	-1	8	16	-1	-1	14	10	1	-1	-1	-1	-1	-1	-1
9	-1	-1	-1	15	11	-1	3	-1	-1	-1	-1	-1	13	-1	-1
-1	-1	10	6	-1	-1	-1	1	-1	3	8	-1	-1	11	14	9
13	-1	-1	1	-1	12	-1	-1	-1	2	-1	-1	-1	6	-1	8
-1	-1	-1	3	-1	-1	-1	-1	1	-1	-1	-1	13	5	9	12
11	-1	-1	-1	-1	-1	-1	-1	6	-1	3	-1	-1	4	8	10
-1	13	1	-1	3	6	4	-1	9	12	-1	-1	14	-1	15	-1
-1	-1	-1	-1	10	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1
