4
2045
-1	5	-1	-1	-1	-1	-1	12	-1	-1	8	-1	4	-1	9	-1
8	-1	-1	-1	-1	-1	-1	3	1	-1	-1	11	-1	16	-1	15
-1	-1	14	-1	13	11	-1	5	16	-1	-1	-1	-1	-1	-1	6
-1	6	-1	3	-1	7	15	-1	-1	14	-1	2	10	12	-1	5
12	2	-1	-1	-1	4	-1	-1	-1	8	14	-1	-1	10	-1	-1
-1	-1	-1	-1	2	-1	-1	11	-1	-1	13	-1	6	5	-1	-1
-1	4	-1	-1	-1	-1	-1	-1	-1	-1	1	16	-1	-1	3	-1
5	-1	11	16	6	10	-1	-1	2	4	-1	-1	1	-1	14	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	10
-1	15	-1	1	8	13	-1	-1	-1	6	-1	-1	12	-1	-1	-1
6	14	-1	-1	12	15	4	-1	-1	-1	11	-1	-1	3	-1	-1
-1	13	-1	9	-1	-1	1	-1	-1	-1	5	10	-1	2	-1	-1
-1	-1	2	-1	9	-1	3	-1	-1	16	-1	-1	-1	-1	-1	-1
9	-1	10	-1	-1	-1	13	-1	-1	2	15	5	-1	4	-1	16
3	-1	16	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	1	-1	-1
-1	-1	-1	-1	-1	8	16	14	13	12	-1	-1	-1	-1	10	-1
