4
932
-1	-1	-1	-1	-1	4	-1	9	6	-1	3	-1	7	-1	-1	-1
-1	-1	-1	-1	10	-1	6	2	-1	4	-1	-1	8	-1	-1	-1
-1	9	-1	-1	-1	-1	-1	-1	15	12	-1	-1	-1	-1	-1	3
-1	4	-1	-1	3	14	-1	-1	-1	-1	-1	-1	2	-1	13	1
11	-1	-1	9	-1	-1	-1	15	-1	-1	-1	13	6	-1	-1	4
-1	-1	-1	-1	8	1	-1	-1	-1	-1	-1	6	-1	3	11	14
6	-1	-1	-1	12	-1	3	-1	-1	2	15	16	13	10	8	-1
12	-1	14	16	-1	-1	5	4	-1	-1	11	-1	-1	-1	2	15
7	-1	-1	8	13	-1	14	-1	10	-1	-1	-1	16	-1	-1	-1
-1	-1	15	5	-1	3	-1	10	1	-1	-1	-1	-1	-1	-1	12
2	-1	-1	10	1	12	8	6	9	7	-1	-1	-1	-1	3	-1
-1	16	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	-1	10	-1	-1	-1	-1	-1	12	-1	-1	-1	3	15	6	-1
-1	-1	2	13	-1	-1	-1	-1	-1	-1	1	-1	9	-1	-1	10
15	8	-1	4	-1	-1	7	16	-1	10	2	-1	-1	-1	-1	-1
-1	11	3	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	13
