4
1890
-1	-1	-1	-1	11	-1	-1	-1	2	-1	-1	-1	-1	-1	13	-1
-1	-1	-1	-1	-1	-1	-1	-1	13	-1	12	-1	-1	8	-1	-1
11	4	-1	-1	-1	1	-1	-1	16	15	-1	-1	-1	6	14	12
7	9	-1	-1	12	-1	5	-1	-1	-1	4	-1	-1	-1	15	11
-1	-1	-1	8	-1	7	6	-1	11	-1	-1	16	-1	-1	-1	-1
-1	-1	5	-1	-1	-1	-1	-1	15	14	-1	-1	-1	13	-1	8
6	-1	-1	-1	1	15	-1	2	9	-1	-1	3	-1	12	-1	7
3	15	-1	-1	10	-1	-1	13	-1	-1	8	-1	-1	-1	11	-1
1	-1	4	3	-1	-1	-1	15	-1	-1	-1	8	-1	-1	-1	-1
-1	16	10	-1	4	-1	-1	-1	-1	13	-1	15	-1	14	-1	-1
-1	-1	12	-1	14	-1	-1	11	6	-1	3	-1	13	15	-1	-1
5	14	-1	-1	-1	16	9	7	-1	-1	-1	-1	-1	-1	10	4
-1	5	-1	14	-1	10	-1	-1	-1	7	9	4	-1	-1	-1	15
10	-1	15	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	12	14
9	-1	-1	13	6	-1	7	12	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	14	-1	8	6	-1	-1	11	10	9	-1
